"NAMA","KOMENTAR"
"mrklimizzz01","tapi di satu sisi mungkin aja dari pasangan kita itu ada sifat bosenan sebagai pasangan nya sebisa mungkin buat pasangan kita nyaman terus sama kita ga bosen sama kitakuncinya langgeng pasangan itu satu sama lain harus saling jaga cuma kalo emang PASANGAN kita udah mengakar SIFAT BOSENAN DAN GAMPANGAN fix sih tinggalin aja timbang sakit berjuang sendiri🔥🔥🔥🔥"
"anggitadwi_saputri","Geli baca chatnya😂😂"
"iis_putrikasela07","Isi chat nya kekanak-kanakan ga sih"
"zhmela03","di liat-liat tato nya mirip istrinya bukan syahnaz 😁"
"perklond_on","Ceraikan!! perselingkuhan adalah salah 1 bentuk KDRT dan menjadi toxic untuk keturunannya jika tetap di maafkan dan biarkan🔥🔥"
"preloved_gyta","Chatnya seperti jaman aku SMA😂"
"idamdarmawan","Cinlok itu berbahaya banget ya bisa lupa sama segalanya😢"
"varyntiasti","banyak yang mau cari rumah buat pulang dengan spek suami kaya jeje dan juga anak yang lucu-lucu, tapi dia malah ngancurin rumah nya sendiri 😢😢😢"
"maureen_diana19","Parah parah... Korban yang diselingkuhin dewasa dan sabar banget saling komunikasi buat beresin masalah tp yg selingkuhnya makin hot hot hot. Nanas mayan agresif yaa ckckckck"
"fitria_vitry","aku mendukungmu mba lady🔥"
"ylkrstn","mungkin jeje kalau chat kurang emoji sekebon😘😘😘"
"bungaadisty","Kurang apa sih jeje "
"_iffaajaa","ini beneran ga? Masa Syahnaz gitu..😢"
"meechan008","Kegatelan sama suami orang @syahnazs"
"poechahee","ternyata netizen udah rame rame tapi malah kena prank buat naikin rating sinetron / filmnya mereka. secara engga pada terkenal terkenal banget, "
"portofolionyadiva","siapa yang mau muntah karena baca chatnya ??"
"eliekmila","tidak bersyukur"
"janromisaragih","Gw nyari 1 aja susah nya bukan main, eh udah dapat spek tinggi malah nyari lagi...ajarin dong suhu😂"
"ayukaniaaa_","naz garagara lu, cewe sekarang kena imbas dikatain demen selingkuh juga😂"
"masg.arenk","JIJIK. dah punya suami, kegatelen"
"cecetira","Alay bgt @syahnazs chatt nya. Kaya anak SD pacaran 😂."
"sihmuriani6","😂😂😂 biarin mau selingkuh kek kagak kek...aku gak tau heheheh"
"sagitarius121290","Kaya nya dari sisi manapun kluarga mereka sempurna banget... tapi mungkin kalau sampe selingkuh fix urusan per crot an si"
"r_gemini94","Kayaknya mainnya enak makanya bolak balik"
"meirisa.meirisa.946","maaf 1 keluarga kok begini semua yaak doyan jajan 😢"
"tanty_rhay","meresahkan dari kemarin beritanya, selingkuh terus"
"yannesara","Pekerjaan lain seorang istri adalah INTEL👏👏"
"mytha.artha","geli banget lihat typing nya, alay nya melebihi bocil pacaran😭😭"
"eka_apriliyadi","Masih bisa yaa Jeje memaafkan.. "
"p.p.lesta","alay banget bahasa chatnya 😂"
"tririsky_18","Semua cewe sama aja, gak cukup satu cowo!"
"_imyour__hi","Ada yg ketauan ada yg belom ketauan roda berputar tunggu tanggal main nya dr allah"
"srrrhhham_","Kok bisa ya orang masih bisa memaafkan setelah pasangannya selingkuh ☹️ aku sih gaada toleransi untuk kata selingkuh"
"khilmibulee","pentingnya Banyak bersyukur .."
"wardialbatavy","Syahnaz sama Randy jadian aja sekalian urus anaknya 5 tuh, gw yakin sebulan udah minta cerai lagi, minta balikan dah, tobat jadi FTV Indosiar"
"adheknura","syahnaz keterlaluan ya kamu klo bener...mencoreng nama andara."
"r_e_z_k_y_y_y","Investasi gojek naik drastis ga ya😂"
"eka.thiwi","jijik bgt baca chat nya, lebih alay dr anak SMP. Kak lady dan bang jeje yg sabar dan tegar ya, semua akan dapat balasan dari Allah SWT.."
"srirejeki_777","Dia kan scorpio 😂 kayak ga tahu aja scorpio. Jangan bilang scorpio setia. Belum ketahuan aja 😂"
"ante_noon","Pertengahan 2023 banyak perselingkuhan"
"utamiamysri","Ini yg bikin aku doa terus.. agar aku dab suami di jaga dari orang ketiga.. kalau muncul istilahnya puber kedua atau kemungkinan jatuh cinta menggebu-gebu lagi kaya abg.. aku minta ama allah untuk jatuh cinta ke pasangan halal masing-masing.."
"diaznpraz","Syahnaz cantik juga ga seberapa karena efek raffi aja jadi dipandang malah banyak gaya, rendi juga jadi cowo kok ya gatel amat udah anak banyak istri baik malah pengen sama Syahnaz yg gak lebih segalanya daripada istrinya gak habis fikir aku tuh"
"yenimimi_bams","Keturunan kah kang selingkuh"
"hendry_arz","Berbau marketing nih 🥱 selamat gojek..👏👏"
"kartikamoerooroh","Mungkin Syahnaz lagi puber... 😮"
"silvia_efr","Laki orang di ayang'in,suami nya orang di suamiin... buset dah,ngeri"
"liasyafrida13","miris banget ya"
"aullnzzz","Aku yakin lady ngakak baca chat mereka ,malah jadi ilfel kaya liatin bocil baru pacaran😭🤣"
"mydeny","gaya chatingannya kaya pacaran anak SMP. mungkin lagi roleplay jadi anak remaja. sampe lupa punya suami, istri, dan anak-anaknya dirumah"
"echyy.21","mungkin lagi memerankan peran yg akan datang positif aja 😅😅"
"sahabatpena316","Aduh mba nanas kok kamu gitu siih..."
"lilis_tanjung1965","kalau aku jadi suami sahnaz..sedekahkan aja tu orang kepada cowoknya..tidak guna di pertahankan jadi istri...masih banyak wanita lain yang baik dan beriman."
"ratnasarin","Awal dari kesengsaraan adalah tidak bisa mengontrol diri.... Sudah punya segalanya tapi masih inginkan yg lain.... Serakah... 😢😢😢"
"miyaausman","Kok sampek Sekarang aku masih Mikirnya ini cuman Setingan Ajja😅"
"siskaayuci","syahnazs  udah punya anak kembar lucu kok bisa-bisa nya selingkuh si mba"
"hjl066","2023 ganti istri ✅"
"hello.tiaraaa","Niat banget sampe chatan di gojek 😭"
"zeeyasumaiyah","Ini beneran apa marketing sii ...😢 Sampe melongo gak percaya😢"
"nvherliana","mba cantik lepasin aja suami kaya gitu. nyampahin hidupmu aja"
"ryanti.hadiwinatha","Pentingnya bersyukur memiliki pasanganmu saat ini... Karena setan selalu menggunakan berbagai cara untuk menghancurkan rumah tangga.. "
"jesscamelia","Bukan nya mereka main film yaa curiga marketing"
"bundaa_afiqah","Pdhal sama-sama sudah punya pasangan yg sempurna di mata orang lain, suami cakep istrinya juga sama-sama cakep, anak soleh solehah, rezeki mengalir , keluarga support, duh cari apalagi sih 😢"
"ajie3627","Iya pasti cuma nafsu adanya, kan udah dewasa semua tidak mungkin cuma gandengan tangan"
"mmuis_","Chatnya alay juga 🤣"
"mydhlibra_","Nyari apa si nanaz ya kali selingkuhan nya ganteng melebihi suaminya,lah ini laki orang gantengan laki nya"
"glams_stuff","Ya ampun menjijikan sekali isi chatnya jatoh dah ga ada harga diri"
"relarestusetiawati","Gak habis fikir pasangan yg sempurna punya anak kembar sempurna kehidupan yg mampan luar biasa tapi astafirullah klo kenyataan kaya gitu miris 😓"
"dewi_nayko","Sebenarnya mereka lagi endorse aplikasi gojek😂"
"cintakberbatas","Kayaknya si sahnaz emang pemain lihat banget berbohong padahal udah jelas"" ketahuan  parah perempuan ini Kirain mah anteng ternyata doyan laki orang"
"tukiyem_geminiiii","Jeje gak kurang apapun kok, Cuma nanaz Aja yg pengen NambaH 🤣🤣🤣🤣"
"ariekurnianto15"," ini si parah sih"
"bestieqthebest","Semoga dua-dua nya sadar, ingat anak...."
"ritanaurida","Seandainya yg punya kasus perselingkuhan ini ada hukumnya out dari dunia per artisan.... Hah dasar udah minta maaf di ulang kembali, gak nyangka sih S bisa nyakitin istri sahnya si R. 🔥"
"yourkimvihokratana","Kalo ampe cerai ama jeje, trus nikah sama rendy, kira-kira si rendy diangkut ke andara gak ya?"
"vickyrizqia"," emang selingkuh mah udah tabiat kayaknya bukan kesalahan. "
"aries_santi","AA Rafi di tunggu komentarnya 😂"
"atep_rival33","Kalo bener,  mencoreng bgt nama @rans.entertainment"
"fortuna.dewifortuna","Semoga Raffi Ahmad sebgai kakak nya bisa meluruskan adiknya"
"simura.789","Baru tau aplikasi nya bisa dipake chat dikirain ngechat cuma pas lagi ngorder aja. Aplikasi nya yang keren apa sayanya yang gaptek ya, 😅😅😅"
"annisaa_cr","kurang apalagi si jeje 😅, bahkan udh punya anak kembar yg MasyaAllah jg , 💔dan paling bikin ngakaknya isi chatnya ke selingkuhan yaallah udah kaya jaman aku ABg alias jaman cinta-cinta remaja anak sekolah 😂😂"
"motherofplanets","Semangat buat ibu-ibu pake daster diluar sana.. yang mengutamakan anak dan suami. Apapun yg terjadi tetap kompak bersama suami.. gak perlu harus terlihat baik baik saja.. kalau pun capek istirahat dan tetap berrima kasih pada suami dan anak-anak karna mereka kita mendapat ladang pahala yang besar..Jaga marwah dan impian diri sendiri ya bu ibu 🤗❤"
"srirahayusudiyono","Dasar gila dah punya suami masih bucin sama suami orang, otak di mana otak...!"
"tenday2001","Sekeluarga emang hobi selingkuh ya😂"
"daputrarendy","Akhir jaman gini banyak""in istighfar dah.. semoga pasangan kita selalu dituntun allah di jalan yg benar."
"bintank092","Istrinya jago sekali biar aplikasi gojek diperiksa pula. Kalau saya pasti tidak kepikiran kesitu🥲🥲👍👍"
"utari_rahmadhany","Ini definisi dari ""Tuhan akan selalu punya jalan untuk memberitahu apa yg disembunyikan dari istri, hal sekecil apapun itu, apalagi perselingkuhan. Meskipun terkadang istri tidak ingin tahu."""
"le__krwasong","cinta yg kayak gini gak akan ada ujung yang baik. Karena mulainya udah salah. Anak jadi korban. Jeje dan mbak Lady juga. Kalo mau terus,susah. Reputasi baik udah runtuh,kayaknya beda agama juga, keluarga pasti malu dan bisa-bisa di cancel sama netizen indo yang kejam. Kalo mau balikan ke pasangan masing-masing, Luka diselingkuhin itu berbekas terus sampe mati. Jadi lanjut susah,balikan juga susah. Yaudah lanjut aja atuh. Kita lihat next episode apa 😌😏"
"prastyaa_21","Pinter nih marketing gojek nya endors syanas"
"farida_leaaaa","syahnazs  chat nya alay kayak bocah Lo Syahnaz tolol gak tau diri setan Lo"
"yunnimarlina31","Typingnya kek jamet risih banget bacanya"
"hadikho_182","Baru tau tuh..Teryata di gojek bisa pesan AYANG  GORENG"
"sonnystwn94","Emang goblok"
"tiiinaah_","Dunia pernikahan sedang tidak baik-baik Saja😮😢"
"lin.aralina","S3 marketing gojek "
"rrebanu","Gojek ni aplikasinya buat ojek sama pesen makan Lo ini buat chatan selingkuh 😁 @gojekindonesia"
"manifestasii_","setingan semua pembodohan tolol"
"nuy.1907","Abang ade tukang selingkuh😢"
"nrfaalah","typingnya kaya pacaran anak SD"
"ekahrd13","Jiwa Intel bini nya Rendy udh kaya detektif Konan 👏👏"
"yourcrush.babyy","nanti bakal ketutup lagi gak kasus nya ini? Kan keluarga sultan tuh yahh🥵tau dong ya uang kan segalanya🫣"
"iaauchul","Happy anniv sayang ? Waduh benar-benar kategori jalanin hub bertahun2 dong ya , yaampun ko bisa sih kak shanaz ?"
"badra_gts","Senasib aplikasi gojeg, shoppe, tokped, dipake untuk selingkuh "
"nn_angelvoice","kalo dia klarifikasi bilang khilaf, sumbat aja mulutnya, khilaf dgan sadar dan penuh niat gitu dibilang khilaf"
"vamey_girl","Yg sabar ya jeje dan lady."
"chococaramelattextrashoot","Jijik banget 😂 ini kalau anak mreka sudah ngerti gimana ya .. kelakuan ini pasti dah sering bobo bareng kayaknya . Sampe sebegitunya ga ada moral banget"
"ika.fifie","Istri cerdas👍👍👍"
"rian_kate","gak disangka @syahnazs nafsu nyaa tinggi juga 😂😂"
"bangzii09","Semua manusia pasti punya khilaf dan benar cinta itu buta"
"yenniarrie88","Gak jauh beda sama abangnya 😂 abangnya kan dulu pernah selingkuh juga gosip-gosip nya 🤭"
"mama_elok80","Baca chat-chat nya kaya berasa baca chatan Anak ESDEH naek yg naek kelas ESEMPEH😂😂😂"
"ariefsilputra81","Itu kayaknya lagi mendalmi peran.."
"a_17rfapaeell.31","kawal sampe nikah 😂"
"elgatwinda_","Kirain setingan buat naikin rating gak taunya ini beneran kah 🫣😲😮"
"gmarcelin_dj","Berarti klo udah di blowup gini mau cerai ya"
"ibnu_tsa","Pasangan kalian kalo selingkuh dengan alasan pasangannya gak mapan itu bullshit, emang penyakit aja ... Susah disembuhin lebih gampang rehab narkoba sumpah... 😂"
"panggilsajabuguru","Paling cuma mau ratting filmnya naik. "
"coldgunaw","Chat di gojek gitu siapa yang penumpang dan apa yang ditumpangi deh"
"tiani_purba","Kalo ini beneran ..Selama ini kaka rafi yg digosipin ini itu..tau nya adeknya yg begitu.."
"abangjago186","Naudzubillah..Udah akhir zamannya mungkin yah"
"propertyku.angel","Mungkin mereka masih merasa lagi shooting.. 🥲"
"ipunkveteran","Bersyukurlah kalian yg setiap minggu, setiap hari diuji dgn masalah dan bisa menyelesaikannya dgn baik. Contoh wanita dan laki diatas yg gak tau diri dan memalukan adalah contoh yg gak pernah punya masalah tetapi nyari masalah. membaca chatnya sepertinya sudah meledak di ubun'"
"balya_farras","Memang seperti itu ketika sepasang biawak sedang birahi"
"frhnekasptr","Gapenting gaada untungnya buat gw sih"
"elsaamega","Adek nya lebih pro dibanding abangnya 🔥🔥"
"asep_stroberii","Penyakitnya sama dengan sang kakak🤣🤣🤣🤣"
"danram95_","Wahh gila sih ini😂"
"eka4480","Selingkuh itu bukan khilaf... selesai kan…karna akan ada lagi selingkuh berikutnya 😂😂😂"
"litacubby9295","Emang bener yaa kalo ini cuma marketing chat gojeek?🥺"
"mama.raditkenz","Dan pada akhirnya kebohongan akan terungkap .."
"bagasvt_77","Mau dikubur maupun disembunyikan pula.. Allah selalu punya cara buat ngebongkar semuanya.. 😄"
"serla_yurinda","Yok mbak nanaz lanjutkan saya tunggu adegan selanjutnya, apakah ada baku hantam antara mbak nanaz dan mbak lady😁😄????"
"the_real_alexa05","ikutan pesen selingkuhan ah di aplikasi gojek...kali aja dapat sugar Daddy..😂😂😂"
"abcaci","Manusia emang banyak kurangnya, kalo yg ini kurang bersyukur yg pasti"
"fulla_bagimah","Kepuasan yang utama...jelas berbeda..😆"
"fikafitrimustika","Kalo di ranjang ada masalah kenapa nggak konsultasi sama dokter @drboykediannugraha semua kan ada solusinya,"
"rosanitaaa_","Anak SMP kalah ini sama bucin nya mereka😂😂😂"
"saviraandio07","Kesimpulannya.. lo mau sepinter apapun ngerahasiain sesuatu dalam rumah tangga Tuhan pasti gak akan lama ngasih tau pasangan lo.. mau sepinter apa nyembunyiin namanya bangke tetap kecium gak si"
"fikafitrimustika","Naz kamu kok gitu, apa yang kamu cari, apa karena Rendi nggak sun*t kamu mau coba Rendi, ya ampun Naz Naz. Suaminya baik banget sabar."
"iiaaaskn","Dan suaminya syahnaz pun mengetahui gileee"
"bundaaakhas","Aduh mbk @syahnazs kurang apa papa Jeje 😢"
"xryuuuuu91","Gw lagi sibuk ga ngurusin"
"rasanyaenakkkkkk","Nas syanaz jijik baca chat nya,umur berapa sih si syanaz??"
"chisajthree","Cewe yg belum Nikah pengen dapet Pasangan Setia Susahnya Minta Ampun, eh ini yg udah mapan malah nyari perkara. Perjodohan tuh di Rumayso perbandingan nya udah 8 banding 600. 8 cowo yg ikut perjodohan berbanding 600 cewe orang yg ikut perjodohan."
"_hsr.diya","Gatel juga ya kamu @syahnazs hadeuh keliatann sih murahan "
"lope_cutewina","Ga nyangka kirain shanas ga akan bikin malu nama keluarga nya.. kalau cowo masih wajar ini cewe😂😂😂"
"nico.rahmadany","Setan sedang bergembira, karena sebentar lagi si setan akan menjadi kaum iblis karena sudah berhasil memisahkan sepasang suami istri.. 😉😉😉"
"aldiirzkym_","Masa masanya perceraian perselingkuhan 2023 momen"
"akusslaw_","Jijik baca chatn ny ke anak esdeh😂🤮"
"lalawd.ori","Alay banget kek anak SD kalo pacaran🤣🤣🤣🤣🤣🤣"
"zziiddddaaannn","Saya mau dong selingkuh sama artis"
"bimbul74","Udah biarin aja ….."
"utyypr","spek jeje aja masih di selingkuhin 😮 ga abis pikir. Selingkuhnya sama yg gitu 😩😩"
"sebutsaja_oranglain","Tiada berat melawan musuh tapi juga berat melawan nafsu ,juga cuma si wanita juga dipojokan sipejantan bininya kurang apa ,,"
"kristinaaa_30","Kayaknya sih gak mungkin ya . Kayaknya cuman buat naikin rating atau mungkin bakal ada film baru"
"pandakumal","Kok nyesek banget jadi bininya, kalau aku jdi dia udah gatau lagi murkanya kaya apa, kok malah jdi aku sih yg emosi 🔥"
"nenyhayeni","Geli kalo baca chatan nya, lebih-lebih bocah yang puber  😂"
"mekar.arum27","Kirain Rendy selingkuhnya waktu main film aja eh tahunya di dunia nyata juga selingkuh. Parah😂"
"lintangmeidiana","Yaelah anak mami tukang ngerengek SMA AA nya aja bisa bisaan selingkuh, udah syukur laki lu mau Nerima lu oon.. jeje kurang apa si yawlah,, gak ada syukur nya lu JD org nas nas ..."
"_tommy02","Mungkin si perempuan kurang puas di ranjang mikir positif😂"
"ls.shop99","Gila sih ini, gimana perasaaan suaminya syahnaz secara istrinya boking hotel untuk laki-laki lain. 😢"
"liong_adi","Bukan maen ….Pada lupa anak ni mereka …ampe ke aplikasi gojek,kenapa gak sekalian chat dimarketplace aja ?🤣"
"czcazi"," gw baru tu bisa chat-chat an di gojek 🤣🤣🤣🤣🤣🤣 seniat itu ya perselingkuhan 😌"
"ratih6931","Kenapa makin kesini makin banyak yang selingkuh dunia makin tua sudah mendekati kiamat😢😢😢"
"kim_zulf","Bau"" setingan tercium keras, ada yg mau launching ni ga lama lagi tayang😂😂😂😂"
"antiantilia","Yang keren bini nya si laki, bisa tau suami selingkuh berkali-kali... Terbaik sih"
"utami_dewi_fortuna96","Alay banget isi chatnya tapi kayaknya sih mmm ga jadi deh"
"bikinbaju_301","Ramalan roy Kiyoshi beberapa bulan kebelakang ternyata terbukti, ada perselingkuhan yang menghebohkan Indonesia.. Inisial RS"
"olivedes234","Tadinya aku mikir ini shahnaz bukan nanas aa Rafi kan..duh gak mungkin lah nanaz..eh ternyata nanaz madu...mksdnya ya nanaz itu..ah masasih..intinya tetap. .AH Masa Sih"
"rara_niel_van_imbiri_kamodi_","Cara baru tuk selingkuh make aplikasi Gojek  sesuai slogan nya "" PASTI ADA JALAN"" 😂😂😂😂😂😂"
"sonya.aprilia18","Laki gua selengki pake aplikasi hago. Jaman sekarang pinter-pinter kalo ngibul 😂"
"chodet_alvarez","Prempuan yang pengen punya pasangan hidup enak berkecukupan pasangan ganteng.. Namanya orang udh khilaf tetap aja hal kaya gini sering bermunculan. Alasannya apapun tetep salah"
"ismail_arieff","Selingkuh itu penyakit kronis, obat nya saat sakaratul maut. Nsudzubillahi mindzalik"
"kesha_tya95","padahal udah cantik suaminya ganteng anaknya kembar uang juga ada masih aja berpaling mungkin belom pernah susah kali ya 😂😂😂"
"ami.sholichah","sepertinya dia hilang ingatan, panggil suami orang dengan sebutan suami dan panggil istri orang dengan sebutan istri. mengenaskan sekali."
"yolanda_eklesia","Aplikasi Gojek jadi trending ni..😂"
"utitiarra","Ternyata cantik aja ga perlu. Tetep attitude dan otak yg di utamakan 🙂"
"asikinobet","Ternyata gaNteng saja tidak cukup,  padahal ganteng suami nya, lalu shahnas jawab: Sama halnya kalau kita makan makanan enak seperti steak, kalau setiap hari apakah kalian ga merasa bosan?  Makanya shahnas pun pengen mencoba makanan lain seperti tempe"
"lalapoo100398","hidup lagi cape cape nya malah baca chatt Syahnaz sama rendi kek bocil smp alay 🤣🤣"
"masbrik_","udah berumah tangga juga ni orang² masih aja jadi kelamin hunter."
"kennierustandi","Kalo gitu si lady nya sama si jeje aja jadi kawin silang"
"uyunkz_yunkz","Sangat hina sekali duh syahnass ingat lu udah punya anak.ampunnn tobat lu nass ..malu maluin lu"
"selviapriliani43","Lagi jaman nya manggil SUAMI ke SUAMI ORANG🔥🔥🤣🤣"
"marrisha16","Disembunyikan kaya apa namanya kita pasangannya(suami/istri)ya selalu peka perasaan kita itu..jadi serapih apapun akan pasti kita ketahui apa yg dsembunyikannya..dan itu fakta..🤭🤭"
"ardhini_made","Gila ya ga ada moral si sahnaz tidak kusangka 😮"
"mira_anwari","Satu-satunya yg bisa ngeberhentiin kebiasaan selingkuh cuma malaikat Izrail"
"jogjamagelangtrip","😢😢😢 paling benerr punya duitt langsung ajak istri/suami liburannnn private ke Jogja biar makin sayang ❤️"
"rinisetiawan1986","Istri tuh naluri nya kuat, mao itu bukti ngumpet di lobang semut pasti ke tahuan juga, mao pinter kaya apa juga suami selingkuh pasti ketahuan, bukti"" nyata terpampang jelas jika istri sudah bertindak mencari bukti... pesan saya sudah bener punya suami yg tidak bertato ini malah pilih yg model nya begitu, maaf hukum tato di agama islam apa,,, nasehat untuk diri sendiri 😢😢"
"padisasa","Kadang heran lihat kelakuan orang yang sudah berumah tangga"
"tahtadillapd_","Kenapa 2023 semua pada ketahuan selingkuh deh.. udah yang masih selingkuh mending udahin aja daripada ketahuan ✌🏻😋"
"santihandayani2_damanik","Nanas tidur masih ngompol aja udah pandai selingkuh😂"
"d.store18","tidak mikir gimana perasaan suami dan istri dari randy !!!"
"d.store18","syahnaz Gapunya hati"
"rmaeyya","sekeluarga👏👏😂😂.. ....gak RA,gak sepupu nya,gak adik nya kang selingkuh....😂😂... biar pun miskin harta jangan miskin adab iman yaa..amit-amit jangan sampai keluarga kecil ku dapat kaya gini ..ya Allah ya Robb"
"annisautam","Chat nya kek jamet :)"
"annalangitan","hAti-hati yang naik pesawat pilot Ama pramugarinya model beginian ... Bisa-bisa jatuh pesawat gara-gara kena Azab 😂😂😂 ( banyak2 doa kalau mau naik maskapai ini ) 😂😂😂"
"umacitrasari","subhanallah. semoga Allah berikan hati yang kuat untuk istrinya demi apalah ngebaca chattingan suaminya demikian sama perempuan lain.😢"
"evi_ylnt","Astagfirullah ingat dunia aja tapi lupa sama akhirat"
"jebyazzahra","Hati-hati GET CONTACT juga bisa buat chat2an"
"shntaprnma10_","GILA GA ABIS PIKIR"
"wanitatangguh303","Untung saya mah baik gak sebar sana sini isi chatnya.. mana nich mbak jihaann_17 yg suka kirim pap sexy ke suami org.. 🤮🤮🤮"
"lusi.anagoni","Mereka tidak takut akan Tuhan sekali Tuhan sentil fatal akibatnya"
"dnc_pijatrefleksi_spa","Setuju pecattt !!! Gimanapun gimana cewek nya Kalau cewe ngasih jalan  ya hajarr .. tapi kalau cewek nya gak ngeladenin ya gak bakalann seriuss"
"theresiadewi20","Pramugari nya ga konsen, kondom nya hilang😂"
"shavinasofyan","Mereka berdua harus nonton Siksa Neraka tu, biar PaDa sadar"
"ammahmuda","Alhamdulillah suami nakalnya udah pensiun sebelum married 😂"
"dyahawarda","Emang kalau selingkuh tuh chatnya harus selalu alay gitu ya"
"ellenhandcraft","Modelan gini udah udah ga bisa dikasih kesempatan lagi. "
"maryo_dff","Kerjaan enak hidup enak istri cantik masih lu ga ada bersyukur nya aneh 😮"
"elawativirgo","Jangan-jangan bener dah di film-film peswat buat wik* kena azab dah seumat di pesawat 😢"
"tamaaies.tamaaies","Serem dong naik pesawat @citilink ini takut kena imbas kelakuan mereka di laknatullah"
"ayu_windiarti_","Mau secantik apapun,SE glowing apapun kalau udh diselingkuhin mah tetep aja ya"
"amih.60","Naudzubillah himindzalik,buat bapak-bapak yg lain kuatkan iman sudah hancur mental2 negeri ini"
"jar_property.bdg","Oh gini tekniknya😮 nyetir pesawat loh bukan bawa odong odong"
"tengokyu.premiumclass_hana","segala nanya kondom bilang aja minta lagi"
"happydaywithaly","oh tuhan, itu sangat menjijikan"
"putrie_sanjaya","Padahal udah punya istri loh yaa,,bahasa chat nya kenapa begitu😭"
"rikamutiara0209","laki model kek gity doain aja biar umur panjang"
"vania.putrie","Yang haram haram itu memang enak kata nya si"
"vikapuspita_makeup","Bahas kondom dong 😭 fix sih itu selingkuh, bukan dugaan lagi"
"eldwinlucius","Sampai hari ini si kondom masih dalam pencarian dan belum ditemukan,karena dia adalah saksi kunci dalam hubungan ini."
"sunflowerr_9401","Takut banget naik pesawat pilot sama pramugari nya belom mandi wajib😢"
"uut.suryani","Lumayan menghibur sih😂 keren juga ya, ada kemungkinan netizen seindonesia raya bisa jadi ikutan bantuin nyariin sesuatu yg hilang itu lho. Kan mayan, jadi cepat ketemu😂"
"queenalfaraza","Padahal sama dulu juga sama pasti pas pendekatan sama istri nya begini. Emang kelakuan laki-laki pengen nya begitu aja 😢"
"ningkesandra","Semoga 2024 full rezeki,full kabar baik untuk saya🤲"
"irmawlndry_","Lucu banget dah"
"siti_badriyah15","Memalukan bgt... Pramugari juga pilot...malu malu.."
"mittysanju","Kita orang asing aja sakit hati banget baca nya apalagi istrinya .ya Allah 😢"
"deden_damhudi","Yg maksiat Kamu, yg dapat azab semua,, dimana otak muu,  waHai penzina"
"ddetris13","pengguna DisCord mendadak di tuduh punya selingkuhan semua karena ini 😂"
"fiyaaads","Itu namanya bucin yang ga pernah dialami sebelumnya.. jadinya ya sekarang deh baru bucin banget gitu wkwk"
"yano.aditya","Bahasa nya kek anak SMP lagi pacaran..Lol"
"mirafariana","seruuu yaa baca text  buat yg lagi kasmaran, hawanya  tuu hawa nafsu gituu isinya😂 yg selingkuhan aja dah begini gimane yg lagi pacaran yaa..🔥🔥"
"one_lin2004","istri sah pasti sudah habis kesabaran sampe up di medsos."
"keeper_iguana_jogja","yg punya suami pilot atau istri pramugari was was ini 😂"
"nys_nisa","Ga bisa ngebayangin pilot lagi terbang bawa penumpang yg di pikirin pap vulgar ama yg bukan istri sah 🤢"
"dwippamunqkas","lu nyari apa sih bang? bini lu cantik loh"
"lafariskitchen","Pantes aja ya pesawat2 sekarang banyak yg sering jatuh, mungkin karena itu ya banyak kelakuan orang2 aneh dan Tuhan sangat tidak suka..."
"novianti0263","Mirip banget lagi kaya ceritanya layangan putus  apa ini kisah nyatanya😂"
"daal.bi","Memang sih pilot pramugari ga semua kek gini, tp imagenya udh kebanyakan kek gini, bahkan pramugari sm pilot yg kukenal jg kelakuannya begini malah sampai punya anak yg mirip sama anak istri sah, menyedihkan tapi kesempatan dalam kesempitannya emang besar"
"incu_apih","Oi yg doyan selingkuh😂 jangan maen tiktok napa,banyak beberapa kasus selingkuh ketauan dr tiktok😂di lingkunganku aja udh 5 org😂😂😂"
"rachelselinsa","Tolong ya @citilink jangan di suruh terbang ini, takut nanti semua penumpang ikut nanggung sumpah bininya"
"nxrwinz","Makin ga pengen punya cowo😭"
"cvrecilla","Cantik istrinya kemana²😢"
"ultramennnn_","Sama kek istriku 😭. 2023 memang berat"
"anisaprisandi","Sebagai pengingat, belajar dari kasus ini. Jangan sampe ngorbanin karir, keluarga besar, anak. Malunya se indonesia raya bang"
"rina.coo","Ada gk sih, pria setia walaupun bergelimang harta/ tahta😂"
"evara.hayu","Sama-sama orang rendahan"
"noeysyakieb","Astaghfirullahaladzim kok gitu yaaa .... otaknya dimana itu...."
"yeniifransiskaa","yallah nangis banget baca ini 😭😭jagalah rumah tangga kamu dari segala marabahaya duniawi ini yallah ,takuttt 😭😭"
"innuendo30","Kok bisa ketauan si? Ceroboh banget"
"nisadela246","Dunia kerja itu memang sarangnya selingkuh ga dimana"" ada aja yg gini 😒"
"aagihh","jejak digital memang kejam😂"
"junininik","Padahal kemarin baru nonton tiktok istrinya yang ceritanya lagi bahagia setelah nikah terus rela resign karena punya bayi. "
"adistsamara16","Ih serem udah bawa-bawa kondom segala yaampun😪"
"ahmadbudimanhamidin_","Nafsu birahi si domba yang belom bisa terpenuhi 😂"
"lidya_insaniah","astagfirullah,, selingkuh + zina itu mah"
"titis_nuari","Yg selingkuh suaminya siapa,,, aku bacanya sambil deg²an sampe sevulgar itu chatnya, ini sih lebih hot 🔥🔥 parah dr yg kasus si🍍 kmrin 😮"
"_rimaannisa","Kawal sampe di pecattt!!!🙌"
"martunis_7","Jangan lupa bersyukur mas, istri cantik kayak bidadari malah cari yang spek kuli😢."
